Name,Latitude,Longitude,
Aaron,49.758123,-92.65349,"{ lat: 49.758123, lng: -92.65349},"
Algonquin,45.442046,-78.820583,"{ lat: 45.442046, lng: -78.820583},"
Arrow Lake,48.17812017,-90.22694426,"{ lat: 48.17812017, lng: -90.22694426},"
Arrowhead,45.3915,-79.214,"{ lat: 45.3915, lng: -79.214},"
Awenda,44.843699,-80.002699,"{ lat: 44.843699, lng: -80.002699},"
Balsam Lake,44.62555,-78.85738,"{ lat: 44.62555, lng: -78.85738},"
Bass Lake,44.601,-79.4829,"{ lat: 44.601, lng: -79.4829},"
Batchawana,46.944168,-84.551017,"{ lat: 46.944168, lng: -84.551017},"
Biscotasi Lake,47.352455,-81.997528,"{ lat: 47.352455, lng: -81.997528},"
Blue Lake,49.904122,-93.469178,"{ lat: 49.904122, lng: -93.469178},"
Bon Echo,44.8972,-77.2095,"{ lat: 44.8972, lng: -77.2095},"
Bonnechere,45.65729,-77.57886,"{ lat: 45.65729, lng: -77.57886},"
Bronte Creek,43.40684,-79.76889,"{ lat: 43.40684, lng: -79.76889},"
Caliper Lake,49.068974,-93.904116,"{ lat: 49.068974, lng: -93.904116},"
Charleston Lake,44.50176,-76.04133,"{ lat: 44.50176, lng: -76.04133},"
Chutes,46.217628,-82.070231,"{ lat: 46.217628, lng: -82.070231},"
Craigleith,44.53622,-80.34897,"{ lat: 44.53622, lng: -80.34897},"
Darlington,43.8755,-78.777834,"{ lat: 43.8755, lng: -78.777834},"
Driftwood,46.18,-77.84,"{ lat: 46.18, lng: -77.84},"
Earl Rowe,44.150159,-79.898905,"{ lat: 44.150159, lng: -79.898905},"
Emily,44.340451,-78.53435,"{ lat: 44.340451, lng: -78.53435},"
Esker Lakes,48.281932,-79.872539,"{ lat: 48.281932, lng: -79.872539},"
Fairbank,46.47,-81.44,"{ lat: 46.47, lng: -81.44},"
Ferris,44.2908,-77.7858,"{ lat: 44.2908, lng: -77.7858},"
